"ensembl_transcript_id","symbol","exp","chromosome_name","ensembl_gene_id","external_gene_name","transcript_length","gene_biotype","transcript_biotype","num_exons"
"ENST00000206380","TMEM101-201","Upregulated","17","ENSG00000091947","TMEM101",1525,"protein_coding","protein_coding",4
"ENST00000206474","HAUS4-201","Upregulated","14","ENSG00000092036","HAUS4",1642,"protein_coding","protein_coding",10
"ENST00000206542","OSGEP-201","Upregulated","14","ENSG00000092094","OSGEP",1976,"protein_coding","protein_coding",11
"ENST00000209873","AAAS-201","Upregulated","12","ENSG00000094914","AAAS",1815,"protein_coding","protein_coding",16
"ENST00000209884","KLHL20-201","Downregulated","1","ENSG00000076321","KLHL20",3414,"protein_coding","protein_coding",12
"ENST00000210060","DHPS-201","Upregulated","19","ENSG00000095059","DHPS",1345,"protein_coding","protein_coding",9
"ENST00000210187","RAB26-201","Upregulated","16","ENSG00000167964","RAB26",1674,"protein_coding","protein_coding",9
"ENST00000211314","TMEM14A-201","Downregulated","6","ENSG00000096092","TMEM14A",988,"protein_coding","protein_coding",5
"ENST00000214869","TMED1-201","Upregulated","19","ENSG00000099203","TMED1",1633,"protein_coding","protein_coding",4
"ENST00000215061","OCEL1-201","Upregulated","19","ENSG00000099330","OCEL1",1111,"protein_coding","protein_coding",6
"ENST00000215375","ATP5F1D-201","Upregulated","19","ENSG00000099624","ATP5F1D",995,"protein_coding","protein_coding",4
"ENST00000215531","SMIM24-201","Downregulated","19","ENSG00000095932","SMIM24",1312,"protein_coding","protein_coding",4
"ENST00000215565","NDUFB7-201","Upregulated","19","ENSG00000099795","NDUFB7",535,"protein_coding","protein_coding",3
"ENST00000215567","TECR-201","Upregulated","19","ENSG00000099797","TECR",1139,"protein_coding","protein_coding",13
"ENST00000215570","TIMM13-201","Upregulated","19","ENSG00000099800","TIMM13",1664,"protein_coding","protein_coding",3
"ENST00000215582","MISP-201","Upregulated","19","ENSG00000099812","MISP",2885,"protein_coding","protein_coding",5
"ENST00000215587","POLR2E-201","Upregulated","19","ENSG00000099817","POLR2E",1286,"protein_coding","nonsense_mediated_decay",8
"ENST00000215631","GADD45B-201","Downregulated","19","ENSG00000099860","GADD45B",1371,"protein_coding","protein_coding",4
"ENST00000215742","THAP7-201","Upregulated","22","ENSG00000184436","THAP7",1913,"protein_coding","protein_coding",4
"ENST00000215743","MMP11-201","Downregulated","22","ENSG00000099953","MMP11",2261,"protein_coding","protein_coding",8
"ENST00000215754","MIF-201","Upregulated","22","ENSG00000240972","MIF",557,"protein_coding","protein_coding",3
"ENST00000215770","DDTL-201","Downregulated","22","ENSG00000099974","DDTL",1582,"protein_coding","protein_coding",3
"ENST00000215838","TCN2-201","Upregulated","22","ENSG00000185339","TCN2",2192,"protein_coding","protein_coding",9
"ENST00000215886","LGALS2-201","Upregulated","22","ENSG00000100079","LGALS2",596,"protein_coding","protein_coding",4
"ENST00000215909","LGALS1-201","Downregulated","22","ENSG00000100097","LGALS1",528,"protein_coding","protein_coding",4
"ENST00000215912","PIK3IP1-201","Downregulated","22","ENSG00000100100","PIK3IP1",2420,"protein_coding","protein_coding",6
"ENST00000215956","SNU13-201","Downregulated","22","ENSG00000100138","SNU13",877,"protein_coding","protein_coding",3
"ENST00000215980","CENPM-201","Upregulated","22","ENSG00000100162","CENPM",938,"protein_coding","protein_coding",6
"ENST00000216014","KDELR3-201","Downregulated","22","ENSG00000100196","KDELR3",1694,"protein_coding","protein_coding",5
"ENST00000216027","HSCB-201","Downregulated","22","ENSG00000100209","HSCB",1106,"protein_coding","protein_coding",6
"ENST00000216029","CBY1-201","Upregulated","22","ENSG00000100211","CBY1",1146,"protein_coding","protein_coding",5
"ENST00000216115","BIK-201","Upregulated","22","ENSG00000100290","BIK",951,"protein_coding","protein_coding",5
"ENST00000216117","HMOX1-201","Downregulated","22","ENSG00000100292","HMOX1",1554,"protein_coding","protein_coding",5
"ENST00000216122","MCM5-201","Upregulated","22","ENSG00000100297","MCM5",3458,"protein_coding","protein_coding",17
"ENST00000216146","RPL3-201","Upregulated","22","ENSG00000100316","RPL3",1296,"protein_coding","protein_coding",10
"ENST00000216185","TXN2-201","Upregulated","22","ENSG00000100348","TXN2",1336,"protein_coding","protein_coding",4
"ENST00000216190","EIF3D-201","Upregulated","22","ENSG00000100353","EIF3D",1880,"protein_coding","protein_coding",15
"ENST00000216259","PMM1-201","Upregulated","22","ENSG00000100417","PMM1",1242,"protein_coding","protein_coding",8
"ENST00000216277","PAPOLA-201","Downregulated","14","ENSG00000090060","PAPOLA",4515,"protein_coding","protein_coding",22
"ENST00000216281","HSP90AA1-201","Downregulated","14","ENSG00000080824","HSP90AA1",3228,"protein_coding","protein_coding",11
"ENST00000216294","SNAPC1-201","Downregulated","14","ENSG00000023608","SNAPC1",2593,"protein_coding","protein_coding",10
"ENST00000216442","ATP6V1D-201","Downregulated","14","ENSG00000100554","ATP6V1D",1599,"protein_coding","protein_coding",9
"ENST00000216446","PLEK2-201","Downregulated","14","ENSG00000100558","PLEK2",1513,"protein_coding","protein_coding",9
"ENST00000216452","PIGH-201","Downregulated","14","ENSG00000100564","PIGH",1394,"protein_coding","protein_coding",4
"ENST00000216455","PSMA3-201","Downregulated","14","ENSG00000100567","PSMA3",955,"protein_coding","protein_coding",11
"ENST00000216456","VTI1B-201","Downregulated","14","ENSG00000100568","VTI1B",1103,"protein_coding","nonsense_mediated_decay",7
"ENST00000216465","GSTZ1-201","Upregulated","14","ENSG00000100577","GSTZ1",1186,"protein_coding","protein_coding",9
"ENST00000216479","AHSA1-201","Downregulated","14","ENSG00000100591","AHSA1",1337,"protein_coding","protein_coding",9
"ENST00000216484","SPTLC2-201","Downregulated","14","ENSG00000100596","SPTLC2",8034,"protein_coding","protein_coding",12
"ENST00000216520","ERH-201","Downregulated","14","ENSG00000100632","ERH",668,"protein_coding","protein_coding_CDS_not_defined",3
"ENST00000216554","EIF5-201","Downregulated","14","ENSG00000100664","EIF5",5710,"protein_coding","protein_coding",12
"ENST00000216714","APEX1-201","Upregulated","14","ENSG00000100823","APEX1",1453,"protein_coding","protein_coding",5
"ENST00000216756","CINP-201","Upregulated","14","ENSG00000100865","CINP",953,"protein_coding","protein_coding",5
"ENST00000216774","SRP54-201","Upregulated","14","ENSG00000100883","SRP54",2187,"protein_coding","protein_coding",16
"ENST00000216797","NFKBIA-201","Upregulated","14","ENSG00000100906","NFKBIA",1559,"protein_coding","protein_coding",6
"ENST00000216799","EMC9-201","Upregulated","14","ENSG00000100908","EMC9",838,"protein_coding","protein_coding",6
"ENST00000216832","PNN-201","Downregulated","14","ENSG00000100941","PNN",3537,"protein_coding","protein_coding",9
"ENST00000216840","RABGGTA-201","Upregulated","14","ENSG00000100949","RABGGTA",1946,"protein_coding","protein_coding",17
"ENST00000216968","PROCR-201","Downregulated","20","ENSG00000101000","PROCR",1349,"protein_coding","protein_coding",4
"ENST00000217159","SLCO4A1-201","Upregulated","20","ENSG00000101187","SLCO4A1",2716,"protein_coding","protein_coding",12
"ENST00000217182","EEF1A2-201","Upregulated","20","ENSG00000101210","EEF1A2",1773,"protein_coding","protein_coding",8
"ENST00000217195","ADISSP-201","Upregulated","20","ENSG00000101220","ADISSP",1302,"protein_coding","protein_coding",6
"ENST00000217244","CSNK2A1-201","Downregulated","20","ENSG00000101266","CSNK2A1",12984,"protein_coding","protein_coding",14
"ENST00000217402","CHMP4B-201","Upregulated","20","ENSG00000101421","CHMP4B",1602,"protein_coding","protein_coding",5
"ENST00000217426","AHCY-201","Upregulated","20","ENSG00000101444","AHCY",2150,"protein_coding","protein_coding",10
"ENST00000217446","PIGU-201","Upregulated","20","ENSG00000101464","PIGU",1639,"protein_coding","protein_coding",12
"ENST00000217455","ACOT8-201","Upregulated","20","ENSG00000101473","ACOT8",1154,"protein_coding","protein_coding",6
"ENST00000217456","APMAP-201","Downregulated","20","ENSG00000101474","APMAP",2202,"protein_coding","protein_coding",9
"ENST00000217652","MYL12A-201","Downregulated","18","ENSG00000101608","MYL12A",958,"protein_coding","protein_coding",4
"ENST00000217740","RNF125-201","Downregulated","18","ENSG00000101695","RNF125",5573,"protein_coding","protein_coding",6
"ENST00000217890","ARSD-201","Upregulated","X","ENSG00000006756","ARSD",2160,"protein_coding","protein_coding_CDS_not_defined",7
"ENST00000217971","PGRMC1-201","Upregulated","X","ENSG00000101856","PGRMC1",1879,"protein_coding","protein_coding",3
"ENST00000218056","WDR13-201","Downregulated","X","ENSG00000101940","WDR13",2124,"protein_coding","protein_coding",9
"ENST00000218230","PCSK1N-201","Upregulated","X","ENSG00000102109","PCSK1N",1025,"protein_coding","protein_coding",3
"ENST00000218340","RP2-201","Downregulated","X","ENSG00000102218","RP2",3700,"protein_coding","protein_coding",5
"ENST00000218364","HTATSF1-201","Downregulated","X","ENSG00000102241","HTATSF1",2694,"protein_coding","protein_coding",9
"ENST00000218516","GLA-201","Upregulated","X","ENSG00000102393","GLA",1318,"protein_coding","protein_coding",7
"ENST00000218758","ACP5-201","Downregulated","19","ENSG00000102575","ACP5",1752,"protein_coding","protein_coding",7
"ENST00000219066","NTHL1-201","Downregulated","16","ENSG00000065057","NTHL1",1067,"protein_coding","protein_coding",6
"ENST00000219150","CORO1A-201","Upregulated","16","ENSG00000102879","CORO1A",1623,"protein_coding","protein_coding",11
"ENST00000219169","NUTF2-201","Upregulated","16","ENSG00000102898","NUTF2",2120,"protein_coding","protein_coding",5
"ENST00000219204","ARL2BP-201","Downregulated","16","ENSG00000102931","ARL2BP",1969,"protein_coding","protein_coding",6
"ENST00000219207","PLLP-201","Upregulated","16","ENSG00000102934","PLLP",1497,"protein_coding","protein_coding",4
"ENST00000219251","ACD-201","Upregulated","16","ENSG00000102977","ACD",2052,"protein_coding","protein_coding",12
"ENST00000219252","POLR2C-201","Upregulated","16","ENSG00000102978","POLR2C",1764,"protein_coding","protein_coding",9
"ENST00000219299","CFAP263-201","Downregulated","16","ENSG00000103021","CFAP263",5272,"protein_coding","protein_coding",9
"ENST00000219302","NME3-201","Upregulated","16","ENSG00000103024","NME3",848,"protein_coding","protein_coding",5
"ENST00000219368","FA2H-201","Upregulated","16","ENSG00000103089","FA2H",2405,"protein_coding","protein_coding",7
"ENST00000219431","MPG-201","Upregulated","16","ENSG00000103152","MPG",1193,"protein_coding","protein_coding",5
"ENST00000219481","DECR2-201","Downregulated","16","ENSG00000242612","DECR2",1551,"protein_coding","protein_coding",9
"ENST00000219771","QPRT-201","Downregulated","16","ENSG00000103485","QPRT",913,"protein_coding","protein_coding_CDS_not_defined",3
"ENST00000219794","BCKDK-201","Upregulated","16","ENSG00000103507","BCKDK",2036,"protein_coding","protein_coding",12
"ENST00000219837","KNOP1-201","Downregulated","16","ENSG00000103550","KNOP1",6422,"protein_coding","protein_coding",5
"ENST00000220058","MTFMT-201","Downregulated","15","ENSG00000103707","MTFMT",2746,"protein_coding","protein_coding",9
"ENST00000220166","CTSH-201","Upregulated","15","ENSG00000103811","CTSH",2145,"protein_coding","protein_coding",12
"ENST00000220507","RHOV-201","Downregulated","15","ENSG00000104140","RHOV",1650,"protein_coding","protein_coding",3
"ENST00000220531","BLOC1S6-201","Downregulated","15","ENSG00000104164","BLOC1S6",3778,"protein_coding","protein_coding",5
"ENST00000220659","BRF2-201","Upregulated","8","ENSG00000104221","BRF2",2560,"protein_coding","protein_coding",4
"ENST00000220669","ZFAND1-201","Upregulated","8","ENSG00000104231","ZFAND1",2184,"protein_coding","protein_coding",8
"ENST00000220751","RIPK2-201","Downregulated","8","ENSG00000104312","RIPK2",2516,"protein_coding","protein_coding",11
"ENST00000220763","CPQ-201","Downregulated","8","ENSG00000104324","CPQ",1932,"protein_coding","protein_coding",8
"ENST00000220809","PLAT-201","Downregulated","8","ENSG00000104368","PLAT",3062,"protein_coding","protein_coding",14
"ENST00000220822","GDAP1-201","Downregulated","8","ENSG00000104381","GDAP1",3645,"protein_coding","protein_coding",6
"ENST00000220849","EIF3E-201","Downregulated","8","ENSG00000104408","EIF3E",2022,"protein_coding","protein_coding",13
"ENST00000220853","EMC2-201","Downregulated","8","ENSG00000104412","EMC2",3527,"protein_coding","protein_coding",11
"ENST00000221265","PAF1-201","Upregulated","19","ENSG00000006712","PAF1",2200,"protein_coding","protein_coding",14
"ENST00000221283","STXBP2-201","Upregulated","19","ENSG00000076944","STXBP2",1885,"protein_coding","protein_coding",19
"ENST00000221315","ZNF432-201","Downregulated","19","ENSG00000256087","ZNF432",4637,"protein_coding","protein_coding",5
"ENST00000221418","ECH1-201","Upregulated","19","ENSG00000104823","ECH1",1200,"protein_coding","protein_coding",10
"ENST00000221431","SARS2-201","Upregulated","19","ENSG00000104835","SARS2",1924,"protein_coding","protein_coding",16
"ENST00000221466","FCGRT-201","Upregulated","19","ENSG00000104870","FCGRT",1511,"protein_coding","protein_coding",7
"ENST00000221486","RNASEH2A-201","Upregulated","19","ENSG00000104889","RNASEH2A",1164,"protein_coding","protein_coding",8
"ENST00000221494","SF3A2-201","Upregulated","19","ENSG00000104897","SF3A2",1619,"protein_coding","protein_coding",9
"ENST00000221504","TRMT1-201","Downregulated","19","ENSG00000104907","TRMT1",2179,"protein_coding","protein_coding",15
"ENST00000221561","TLE5-201","Upregulated","19","ENSG00000104964","TLE5",1884,"protein_coding","protein_coding",7
"ENST00000221573","SNAPC2-201","Upregulated","19","ENSG00000104976","SNAPC2",1520,"protein_coding","protein_coding",5
"ENST00000221730","EPHX3-201","Downregulated","19","ENSG00000105131","EPHX3",1838,"protein_coding","protein_coding",7
"ENST00000221801","FBL-201","Upregulated","19","ENSG00000105202","FBL",1125,"protein_coding","protein_coding",9
"ENST00000221847","EBI3-201","Upregulated","19","ENSG00000105246","EBI3",1158,"protein_coding","protein_coding",5
"ENST00000221855","TBCB-201","Upregulated","19","ENSG00000105254","TBCB",987,"protein_coding","protein_coding",6
"ENST00000221859","POLR2I-201","Upregulated","19","ENSG00000105258","POLR2I",443,"protein_coding","protein_coding",6
"ENST00000221943","DMAC2-201","Upregulated","19","ENSG00000105341","DMAC2",1700,"protein_coding","protein_coding",6
"ENST00000221972","CD79A-201","Downregulated","19","ENSG00000105369","CD79A",1099,"protein_coding","protein_coding",5
"ENST00000221975","RPS19-201","Upregulated","19","ENSG00000105372","RPS19",500,"protein_coding","protein_coding",6
"ENST00000221992","CEACAM5-201","Upregulated","19","ENSG00000105388","CEACAM5",3501,"protein_coding","protein_coding",10
"ENST00000222008","RABAC1-201","Upregulated","19","ENSG00000105404","RABAC1",750,"protein_coding","protein_coding",5
"ENST00000222219","DNASE2-201","Downregulated","19","ENSG00000105612","DNASE2",1938,"protein_coding","protein_coding",6
"ENST00000222247","RPL18A-201","Upregulated","19","ENSG00000105640","RPL18A",634,"protein_coding","protein_coding",5
"ENST00000222256","RAB3A-201","Upregulated","19","ENSG00000105649","RAB3A",1496,"protein_coding","protein_coding",5
"ENST00000222388","ABCF2-H2BK1-201","Downregulated","7","ENSG00000285292","ABCF2-H2BK1",2185,"protein_coding","protein_coding",16
"ENST00000222482","CPA4-201","Downregulated","7","ENSG00000128510","CPA4",2790,"protein_coding","protein_coding",11
"ENST00000222543","TFPI2-201","Downregulated","7","ENSG00000105825","TFPI2",2207,"protein_coding","protein_coding",5
"ENST00000222547","BET1-201","Downregulated","7","ENSG00000105829","BET1",1481,"protein_coding","protein_coding",4
"ENST00000222553","NAMPT-201","Downregulated","7","ENSG00000105835","NAMPT",4360,"protein_coding","protein_coding",11
"ENST00000222567","POLR1F-201","Downregulated","7","ENSG00000105849","POLR1F",3893,"protein_coding","protein_coding",4
"ENST00000222597","CBLL1-201","Downregulated","7","ENSG00000105879","CBLL1",2346,"protein_coding","protein_coding",6
"ENST00000222693","CAV2-201","Downregulated","7","ENSG00000105971","CAV2",2953,"protein_coding","protein_coding",3
"ENST00000222726","HOXA5-201","Upregulated","7","ENSG00000106004","HOXA5",1670,"protein_coding","protein_coding",2
"ENST00000222747","TSPAN12-201","Downregulated","7","ENSG00000106025","TSPAN12",2585,"protein_coding","protein_coding",8
"ENST00000222803","FKBP14-201","Downregulated","7","ENSG00000106080","FKBP14",4978,"protein_coding","protein_coding",4
"ENST00000222990","SNX8-201","Upregulated","7","ENSG00000106266","SNX8",4704,"protein_coding","protein_coding",11
"ENST00000223023","WASL-201","Downregulated","7","ENSG00000106299","WASL",4363,"protein_coding","protein_coding",11
"ENST00000223029","AIMP2-201","Upregulated","7","ENSG00000106305","AIMP2",1198,"protein_coding","protein_coding",4
"ENST00000223054","MOSPD3-201","Upregulated","7","ENSG00000106330","MOSPD3",1053,"protein_coding","protein_coding",6
"ENST00000223073","RBM28-201","Downregulated","7","ENSG00000106344","RBM28",15507,"protein_coding","protein_coding",19
"ENST00000223076","IRS3P-201","Downregulated","7","ENSG00000184414","IRS3P",1006,"transcribed_unitary_pseudogene","transcribed_unitary_pseudogene",1
"ENST00000223095","SERPINE1-201","Downregulated","7","ENSG00000106366","SERPINE1",3156,"protein_coding","protein_coding",9
"ENST00000223127","PLOD3-201","Downregulated","7","ENSG00000106397","PLOD3",2821,"protein_coding","protein_coding",19
"ENST00000223208","CEP41-201","Downregulated","7","ENSG00000106477","CEP41",6292,"protein_coding","protein_coding",11
"ENST00000223273","YAE1-201","Downregulated","7","ENSG00000241127","YAE1",871,"protein_coding","protein_coding",3
"ENST00000223321","PSMA2-201","Downregulated","7","ENSG00000106588","PSMA2",1434,"protein_coding","protein_coding",8
"ENST00000223324","MRPL32-201","Downregulated","7","ENSG00000106591","MRPL32",859,"protein_coding","protein_coding",3
"ENST00000223336","COA1-201","Downregulated","7","ENSG00000106603","COA1",899,"protein_coding","protein_coding",6
"ENST00000223369","YKT6-201","Downregulated","7","ENSG00000106636","YKT6",2767,"protein_coding","protein_coding",7
"ENST00000223864","PLGRKT-201","Upregulated","9","ENSG00000107020","PLGRKT",981,"protein_coding","protein_coding",6
"ENST00000224073","EDF1-201","Upregulated","9","ENSG00000107223","EDF1",662,"protein_coding","protein_coding",5
"ENST00000224237","VIM-201","Downregulated","10","ENSG00000026025","VIM",1868,"protein_coding","protein_coding",9
"ENST00000224356","CYP26A1-201","Upregulated","10","ENSG00000095596","CYP26A1",2117,"protein_coding","protein_coding",7
"ENST00000224949","PITRM1-201","Downregulated","10","ENSG00000107959","PITRM1",3427,"protein_coding","protein_coding",27
"ENST00000225171","DNAJC12-201","Upregulated","10","ENSG00000108176","DNAJC12",1221,"protein_coding","protein_coding",5
"ENST00000225276","ST6GALNAC2-201","Downregulated","17","ENSG00000070731","ST6GALNAC2",1904,"protein_coding","protein_coding",9
"ENST00000225388","NUFIP2-201","Downregulated","17","ENSG00000108256","NUFIP2",10877,"protein_coding","protein_coding",4
"ENST00000225430","RPL19-201","Upregulated","17","ENSG00000108298","RPL19",737,"protein_coding","protein_coding",6
