R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
PCDHB11 49 47 26 25 13 20
ZNF628 79 83 72 114 243 106
GALP 0 0 1 0 0 1
SLC2A10 16 7 2 48 60 49
ZNF665 354 361 380 69.99999 54 52
RPF2 2052 2056.00001 2202 1634 1194 1427
LINC00477 0 0 1 2 1 1
SLC28A3 6 12 7 13 25 14
FAM177B 40 19 38 3 1 3
MIB2 75.99997 73.00003 69.00003 123 194.99999 131.00001
MYO5A 268.99999 222.99998 208.99999 63.99999 84.99999 41
CARINH 151 116 165 80 57 57
GZMM 0 1 2 20 16 34
ATG7 1004.99998 846.99999 833 781.99999 968.99999 740.99999
ENSG00000197550 28 15 2 94 1 2
SIPA1L1 809.99999 673.00001 757.99998 433.99998 501.99999 280
IFT70A 101 83 92 39 23 20
SSPOP 1 4 3 0 0 2
ELANE 1 0 1 0 0 0
RAB40C 184 145 141 272.00001 382 247
PIGN 142.99999 131.00001 142.99999 119.00001 62.99999 89.99999
COL4A6 21 9.99999 11 8 7 2
ZNF624 63 29 51 6 6 12
ANKRD13C-DT 1543 1353.00002 1495.99998 4185.00001 3254.99998 3765.99999
RPS17P2 89 72 80 99 63 72
HOXA4 6 2 9 1 1 1
TOPORS 243 207 204 192 118 116
BCO2 11.00001 7 6 2 0 3
GPX1P1 27 25 13 15 14 7
KCNMB2 0 0 0 6 4 1
ENSG00000197585 13 21 25 1 0 1
ENTPD6 646.99999 667.99999 610.00001 1140.00001 1516.99999 1036
DMBX1 62 38 40 321 301 182
ENPP1 25 18 25 19 13 5
CCDC154 9 7 11 8 8 6
FAR1 510.99999 457 455 133 146.00001 125
CPLANE1 157 143 126 38 49 42
ZNF841 1030 973.00002 1119.99999 34 9 22.00001
MFAP5 4 1 2 3 7 6
MYH6 0 1 0 0 2 0
ZNF615 104 79.99999 74 10 6 9.99999
EOLA1 455 493 453.00003 749.99999 547 660.99999
CDC42SE1 1787 1930.00002 1705 784 568.99999 708
MPEG1 0 5 1 0 20 1
SERPINB2 28 17 14 0 0 0
DPP4 275 203 229.00001 299 321.99999 253
SERPINB13 3 0 2 0 1 0
PDCD1LG2 43 38 60 6 3 7
ZNF433 261.00001 245.00001 242.00001 51 61 44.99999
CCER1 0 1 1 0 0 0
DNAH10 12 0 0 3 2 0
GRAPL-AS1 72 70.99999 88 137 80 136.99999
ZNF217-AS1 4 10 3 2 9 5
SPTAN1 1209 933.00001 1025 1446 2234 1022.99999
NMB 613 509 476 142 124 124
PARVA 568.00001 579.99999 529 617.99999 495 449.00001
KLHL14 0 2 0 0 0 0
FAM114A1 1256 1098 1123 419 247 291
RPE 1317 1298.99999 1214 1113 621 908.00001
ZNF460 50 53 54 10 4 8
CR1L 3 6 2 2 0 0
PHF2 161 134.99999 139 141.00001 97.99999 92.99999
RPS26 1523.99999 1338.00001 1261 1806.99999 1403 1421.00001
SLIRP-OT1 3 10 9 1 0 0
PTMAP2 514 343 331 803 542 484
PSAP 29714.00001 27915.99997 26944.00002 17734.99998 14669.00001 17433.99997
S100A10 100336 83321 80357 52904.99999 39481.00001 40419
CFAP43 63 66 67 24 19 23
LHFPL5 54 52 63 47 11 21
RPL37A 182890.99998 145210.00001 159446.00002 401037.99999 319627 261458.99998
HOXC6 35.00001 37 29 38 25 21
TXNRD3 96 110 119 55 41 42
CFD 311.00002 305.00001 241 225 324.00001 209.00002
STPG3 0 1 1 0 0 0
MAP1LC3C 39 25 30 77 35 60
MCMBP 377.99999 312.00001 327 200 211.99999 153.99999
EME2 71 83 66 50 57 51
KLHDC1 16 18 23 10 4 5
ZNF81 73.99999 63 78 29 10 22
TAF13 903 835 1010 622.99999 539 500
ZNF780A 246 192.99999 227.99999 168.00001 131.00001 164.99999
ATAD3A 314 201.99999 200 332 671.99999 280.99999
OR5B17 0 0 0 2 0 0
FAM118B 467.99998 446.99999 449 363 178 334.00001
ZNF461 61 40 43 24.00001 18 19
ENSG00000197813 9 5 2 3 23 3
ENSG00000197815 15 27 10 12 17 6
CCDC180 1 1 2 0 0 4
SLC9A8 155 256 213 139 170.00001 137
OCLN 366.99999 605 501.00001 1013 607.00002 750.99998
CFAP299 78 49 74 0 0 1
H4C16 54.99999 43.99999 60 38 31 29
CYP2A13 0 0 0 9 1 4
ZNF181 83 107 91.00001 32 19 30
SLC22A20P 0 1 0 0 0 0
INKA2 5 12 12 11 9 8
ZNF44 424.00001 515.00001 576 134 125.99999 74
GPAA1 1827 1913 1795.00002 1983 1882.99998 2086.99996
ADAMTSL2 1 0 1 1 2 1
SGTB 113 134 125 70 56 54
ZNF790 177 210 173.99999 114 77 74
PRB3 47 27 26 27 17 27
CYRIA 5 6 7 8 5 3.99999
MYO1C 1775.00001 1454 1547 2922 4478 2041.00002
MDS2 18 25 24 1 3 0
NKIRAS1 287.99999 299.99999 267.00003 123.00001 80.99999 118
UGT2B17 1 4 2 0 0 1
MEIG1 51 45 39 2 6 7
KIF13B 126 105 105.00001 337 497 231
ADH5 3829.99999 3489 3700.99999 2747.00001 1729.00001 2331.99998
H2BC12 7306 6306 6622 3100 2153 2668
TEAD4 239 296 256.99999 933 1239.00001 941
SPG7 583 582.99998 528.99998 541.99999 579.00001 416.00002
HRNR 3 1 3 0 0 0
IFNA1 0 0 6 0 0 0
HES5 0 1 0 1 2 0
NBEAP2 12 14 0 0 0 0
ZNF677 2864.99999 2532.99999 2664.99999 205.00001 155.00001 159
ERO1A 4725.00001 3783.00001 4096 1591.00001 1071 1278.99999
ZNF823 102 113 83 97 73 49
CYYR1-AS1 21 21 31 1 0 0
ZNF311 96.00001 75 65.99998 3 6 5
ZNF347 564.00003 496 484.00001 76 60 49
PLCG2 38.99999 35 24.99999 8 2 5
FCHSD1 116 141 118 170.99999 218 214
ZNF71 723 754 769.99999 324 245.99999 285.00001
S100A6 279989.99999 229238.00001 237936.00001 261135 208268 218229.00001
RPL12 135068.00002 112557 110944.00002 260340.99999 156610 198468
DNM3 113 135 127 96 67 129.99999
ZNF121 740 763 764 263 167 139
MPZL1 946.99999 1223 1117 843.00001 611 658
VPS13A 194.99999 167 176 93 94 55
MBP 633 588 561.00001 657 569 422.99999
AKAP17A 64 72.00001 75 70 112.99999 47
ELOVL2 1 3 2 5 1 9
GOLGA6L9 88 67 80 53 36 64
LEKR1 123.00001 119 109.00001 92 42 48
C1orf122 985 921 943 787 838.00001 759
SNHG12 376.00002 589.99998 643.99998 372.00002 339.00001 280.00001
ZNF734P 0 1 0 0 0 0
KEL 0 1 0 1 0 3
NOL8 645.99999 528.00002 658 317 349.00001 257.99998
IRAK4 573 431 528.00001 261 190 134
ODAD3 324 216 258.99999 28 16.00002 16
DLGAP2 7 2 4 0 2 0
MRPL42 2136.00001 2105.99999 2179 1618.00001 1078.00001 1431.00001
ENTPD7 154 130 137 41 36 34
SPANXA1 1 0 0 5 3 3
ZNF335 118.99999 146.00001 152.99999 234.00002 355.00001 144
ZNF560 649 483 517 72 57 60
TUBA3C 0 0 0 0 0 2
RPS4X 107192 99777 95207 191299.00001 124090.00001 161359
ZNF273 383 391 349 208.99999 104 134
ZNF84 406.99999 358.99999 336.00001 166 168 121
MAK16 442.99999 480 579.00001 283.99999 222.99999 194
ZNF667 245.99999 206.00001 185.99999 129.99999 153.99999 103.00001
SIRPA 723 634.99999 656.00001 16 45.99999 17.99999
DSCR8 0 1 4 0 0 0
GRK6 152.99999 152 157.99999 391 615 318.00001
PRIM1 1046.00001 813 755.00001 771 466 613.00001
MARCHF5 1427 1308.99999 1291.99999 537.00001 344 472
NPIPB13 35 44 38 89 34 36
AKR1B10 166 143.99999 131.00001 61.99999 43 36
ZBTB14 124 105.99999 121.00001 104.00001 69 62
CD2AP 390 291 318.00001 499 419 375.99999
NUP62CL 43 29 48 143.99999 59 125.99999
SFI1 117 169 107.99996 81.99999 59.99999 52.99999
KRTAP4-6 0 0 0 2 0 0
TMPRSS11F 0 1 2 0 0 0
ZNF649 433 379 421 82 63 71
ZNF248 136 156.99999 131.99999 90.99999 50 68
CHSY3 1 1 4 1 4 9
TOR4A 213 223 261 9.99999 9 7.00001
LPAR1 112 99.00002 93.00001 21.99999 19 9.99999
MB 3505.99999 2842.00001 3345 7644.99999 4656 6616.00001
HIBCH 885 910.99999 804 724 477 691
ZNF544 1967 1797.00001 1779.00001 433.00001 288.99999 293.99999
TMEM229B 20 11.99999 14 0 6 3
PTMAP9 42 5 17 58 58 38
SOWAHC 421 268 392 200 117 106
ZNF770 705 655.00001 828 200.99998 159 151
ZNF849P 35 37 33 1 0 1
ZNF876P 4 5 4 0 0 0
NPIPB6 3 7 8 4 6 1
HMGN5 944.00001 589.99999 680 589.99999 661.00001 480.99998
MIER1 898.99999 955.00001 960 1048 856.99999 697
MAN1A2 361 403.99999 378 423 499 268
SVIP 1858.00001 1536.99999 1540 736.99999 506 522
ZNF251 90.99999 91.00001 71.99999 105.99999 64.99999 50.99999
DDRGK1 2017 2315 2079 2232 2458.99999 2103.00001
TFDP1 572 492.99998 480.00002 402.99998 432.00002 364.99999
CLEC4C 3 4 7 0 0 1
ZNF607 204 230.99999 232.99999 94 50.00001 109.99999
BPIFA1 0 0 0 0 0 4
ZNF334 34.00001 53 46.99999 0 0 0
HSD17B11 1492.99999 1307.99999 1462 591.99999 402.00001 509
SZT2 68 81.99999 63 164 114 96.00001
SULT1C2 8 14 11 23 22 35
ZXDA 14 30 22 5 10 14
RPS6KL1 166 192 193.99999 132 199 159
ENSG00000198211 3 0 3 0 4 1
CACNA1E 2 4.00001 0 0 0 0
QRICH1 579.99999 512 516 353 432.00001 292.00001
AFDN-DT 51.99999 45.99999 39.00001 121.99999 46 111.00003
CSF2RA 10 12 13.00002 75 41 69
FKBP1C 120 90 132 67 56 62
DDX42 666 550.99998 658.99998 431 534.00001 328.99999
RPL23A 97164.99999 82186 82275 169763 100595 107144
SLC29A3 207.00001 202.00001 224 344 241 338.00001
STYX 976.00001 966 935 418 199.99999 281
UBL5 25457 22224.00001 22218.99999 26115 17423.00001 20720.99999
HELZ 308.00001 256.99999 238.99999 148 137 76
TMEM116 259.00001 239 261.99998 295 167 197
UCKL1 612.99999 614 586 485.00001 468 485.99999
CARD11 115.99999 91.99999 110 562 754.99999 451
ZNF485 202 201 197 104 41 94
PEG3 32 88.99998 86 0 0 0
SDAD1 1300 1210.99999 1184.00001 785 564.99999 547
ZKSCAN8 49.99999 38 46.99999 36.99999 19 23
PHETA1 175 122 153 238.99997 269.99998 178.99999
TMEM239 1 1 1 0 1 0
HYLS1 541 493.00001 484.00001 426.00001 270 320.00001
MYL4 3 1 3 26 44 47
ZNF442 38 30 31 10 9 9
ZNF813 252 182.99999 187 54 43 29
HOXC4 30 27 26 13 5 8
PIM3 343 251.99999 333 497 581 402
GET3 5214 5346 5070 3317.00001 2622.99999 3766.99999
ENSG00000198358 0 1 0 0 0 1
ASPH 5663.99999 4657.99999 4789.99999 15175 12578 14161.99999
SPRED2 1064.99999 953.99999 937.00001 190 152 127.99999
WWP2 403 352 338 625 1271.99999 605.99998
GFPT1 1234.99999 1277.00001 1245 1627.99998 1252.99999 1107
UVRAG 147 196 174 145.99999 109 111
ZNF26 87 97 95 77 65 39
ITSN2 313.99999 285 244 169 187.99999 114
BZW1P2 419 319 375 255 412 186
OGA 531.99999 576.00001 547 372 440 283
TATDN2P1 1 9 4 0 0 0
MT1F 1189 1030 1149.00001 1977 1762 1423.99999
TCAF1 1617 1010.00001 1176.99999 577 590.99999 412
ZNF69 300 241 242 110 113 101
TXNRD1 1700 1355 1491 1987.00001 1696 1300.99999
NRARP 113 67 81 50 60 32
ZNF583 378 307.99999 323 79 39 28
KRTAP4-1 0 0 0 60 21 38
ZNF568 277.00001 266 296.99999 40 42.00001 42
ZXDB 54 46 63 40 34 19
ZNF480 2266 1721.99999 1917.99998 266 202 237.00001
ZNF587 301 284 248 132 108 75
TPM2 203 182.00001 156 84.00001 51.99999 51
FLVCR1-DT 555 448.99999 513.99999 217.00001 219 191
RTP2 0 0 0 1 0 0
SH3BGRL2 179.00001 170 159 390.99999 201 292.00001
ZNF808 319 230.00001 251.99999 27 11 11
ANKRD35 1 1 0 3 1 2
B3GNT6 4 0 1 268 356 179
ENSG00000198491 4 2 1 0 0 0
YTHDF2 2039 2097 2021 1642 1104 1208
NBR2 582.00002 509.99998 490.99999 266 164 218.00001
TMA16 1375 1383.99999 1290.99999 1131 792.00002 894
HLA-DRB5 3 8 3 54.00001 12 42
ATL1 287 232 211.99999 38 35 30
CNGA1 107 42.99999 79 94 64.99999 39
MAFK 288 243.00001 269 381.00001 441.99999 221
ARMH1 24 22 23 114.00001 86.00001 92.00001
ZNF43 817 729 675.00001 172 123 101.99999
GPN1 1915.99998 1741.00002 1758.99998 1501.99999 950.00001 1367.99999
PLN 0 0 0 0 0 3
C2CD4A 11 7 7 12 11 3
ZNF28 2987.00001 2135 2444 513 312 392.99999
ITGBL1 27 38 31 9 9 8
ZNF511 973 969 820 909 783.00001 937
ZNF627 282 279 297 180 143 177
KCNRG 2 8 2 12 4 2
WDHD1 269 214.00001 219 233 235 261
ZNF789 315.99999 191 254.00001 197.00002 46.99999 79.99999
CTNND1 1132.99996 1007.00001 1012.00003 1077.00002 1162 821.00001
DDX39B 3264.00002 3218.00001 3227 5505.00001 4949.00002 5106
SLC34A3 7 3 3.99999 11.99999 19 20.00001
RD3 0 0 0 0 0 2
SPANXC 0 0 0 1 6 1
SH2D1B 0 0 0 2 0 0
ARC 4 5 1 0 2 1
ENSG00000198580 62 59 7 1 0 0
NUDT16 977 892 891 915 736 746
TLK1 419 422 410 280.00001 216 222.00001
LRBA 431 302.00001 341 305.99999 326.99999 216.00001
APRG1 4 2 8 2 5 9
MMP17 66 64 94 1 7 3
BAZ1A 1032.99998 941.00001 961 713 670.99999 466
AKR1C4 0 0 0 0 1 0
COPS8 3476.00001 3366.99998 3016.00001 2275 1253 2101.99999
PPIAP22 35996 31204 29968 27793 18715 21852
CCDC69 24 25 15.00001 16.00002 11 11
MDM4 261.99999 266.00001 290 337 170.00001 124.99999
RYR2 5 6 2 1 2 1
ZNF534 26 23 27 0 1 0
KLHL9 395.00001 363 388 166.99999 127 156
FAM3D 3 0 1 0 0 1.00002
NCOA6 625.99999 473.00001 431.00001 402.99999 286 258.99999
STK39 256.99999 211.00001 247 286 328 196.00001
TAT 9.99998 2 7 5.00001 4.00002 11.00001
ABHD17AP1 74 52 62 54 47 37
C6orf89 832 755.00001 671 592.99999 545.00001 484
CALM1 42170.00002 43846.00001 43048 18902.00001 12775 14615
TAFA2 84.00001 112.99999 93 68 29 38
SKIC3 566 385.00001 458 286.99999 301 194.00001
TUSC1 40 59 37 57 61 30
PAPSS2 599 530.00001 552 342 402 238
LINC01565 0 0 2 0 0 0
SLC9A6 92 106.00001 93.99999 148.00001 84.99999 96.00001
FAN1 231 218 224.00001 108 138.00001 124
ABCA4 5 12 5 82 63 68
MT-ND6 4860 3564 3478 4082 2721 2360
IPO9 657.00001 478.99999 503 861.00001 1075.00001 764
CEP290 1055.99999 809 945.00001 308.00001 252.99999 217.00001
SSBP3-AS1 2 2 3 9 11 2
MT-CO2 58612 75670 48963 400324 159359 277231
GLMP 2320 2148.00001 2046 2330 1550.00001 2568.00001
TOGARAM1 155 139.99999 174.99999 110 90.99999 86
DLL1 2 4 2 4 2 0
ANKRD13B 50 43 53 41 59 25
ECI2 1198.99999 1115.00001 993.00001 893.99999 647 679
UNC13B 127.00004 72 115 117.99998 211.00001 142.00001
SAXO5 104 106 133 32 26 31
MT-CYB 70663 55687 57529 60776 43421 37022
LDB1 248.99999 171 170 173 168 173
PPP1R14C 251 295 318 160 116 138
CTR9 631 500 522 297 270 230
SMOC1 4 6 4 0 1 0
F5 9 6 7 23 35 18
MSRB1 6109 4526 5293.00001 2332 1374 2101
SMIM11P1 0 0 1 0 0 0
ZNF652 214.99999 147 165 140.99999 104.99999 66
SMURF1 575.00001 464.99999 513.00001 415 540 269
SLC5A3 61 30 34 57 66 37
MTCO3P12 143 88 103 255 108 71
GPATCH3 142 122 125 154 188 160
CDC42BPB 477.00001 288 355 340 658.00001 198.99999
PLXNB3 105 98 141 60 96.99999 59.99999
OXCT2 0 0 0 2 4 2
RPL10A 68390.99999 63031.99999 62605.99998 112288 68378 86912
COLGALT2 12 3 6 1 4 0
EPS8L3 0 0 0 52 43.99999 55
EGFL6 0 0 2 0 0 0
MT-ND2 35391 35368 38602 35903 33613 28639
APCDD1L 113 95 57 4 0 5
RCSD1 30 33 32 0 1 1
RASSF9 36 23 30 8 7 7
FAM169A 17.99999 23 17 8.99997 16 4.99999
ZNF830 650 562 615 330 269 263
GRIN3A 15 82 1 1 2 1
MT-ND5 285416 185802 228551 86491 188159 64282
MUC2 3 2 2 1 3 6
CNOT7 3090.00001 2883.99999 2834.99998 2008.99999 1277.99998 1476.00001
TMEM184B 551 557.99999 526 453 694 348
MTOR 233.00001 200.00001 212 213 279 135
SCAMP5 84 88 81.00002 196.99994 209.00002 133.99998
ZNF521 0 2 0 0 0 0
ALPK2 3 2.99999 2 0 1 1
BRINP2 1.99999 1.99999 1 0.99999 0 0
LRIG2 62 59 53 131 109.00001 48
MT-CO1 5205 3715 4491 5612 4208 4275
PNP 5255 5624 5668.99999 4360.99999 2433 4013.00001
PAX9 200 193 210 250 197 224
GK 314 309.99999 330 38 11.00001 30.99999
FOXJ3 266 237.99999 254 444 481 297
ZNF358 555 418 528 1031 1993 934.00001
SFT2D1 4609 4091.99999 4211 3226.00001 1985.00001 2707.99999
CD247 4 4 2 0 0 2
CHAMP1 250 221 219 157 133 106.99999
INPP5F 129.99999 123 119.99999 46 46 44
ARHGAP11A 494 391 304 158.99999 146 141.00001
SUCNR1 1 0 0 0 0 0
HMGN2 17743 15744.99996 14399 19696.99998 12285 15979.00001
SELENOM 8282 8734.00001 7646 1219.99999 1126 1054
UBE2J1 360 307 336 488.99999 334 347
GJC2 5.00001 3 2.00001 12 23.00001 6
OPA1 533 475.99999 450.00001 253.99998 275 250.99999
DENND4B 113.99999 137.99999 143.00001 152.99999 243.00001 132.99998
RYR3 12 11 8 2 5.00002 2
ZNF277 1041 1041 1052 797.99999 498 780.00001
MT-ND3 8567 4101 5727 16875 14448 14091
KTI12 199 193 238 463 440 553
STYXL2 10 3 5 0 0 0
SELENOT 3406 3261 2950 1490 780 1471
ARHGEF15 2 1 5 6 3 0
TOX 1 4 0 48.99999 37 33
CES1 1 2 0 0 0 2
CD3E 0 1 1 0 0 0
RUSC2 75 62 75 64.99999 99 39
KPLCE 2 0 3 0 0 0
FICD 115 160 141 85 73 80
OSTC 6528 6000 5952 4307.99999 2196 3560.99999
HSD3BP5 0 1 0 0 0 0
R3HDM4 1155.99998 903.99999 1053.99999 1495.99998 1569 1426
TSEN15 1181 1105.99997 1106.99998 1421.99998 1159.00001 988
LTN1 103 95 115.00001 90.99999 94 54.00001
RUNDC1 188 159 196 296 373 187
CCDC152 5 5 2 1 0 2
MTND4LP30 3 0 2 2 5 0
STKLD1 26 22 31 69 58 82
GRK5 125 137 121.99999 168 147.99999 149.99999
TYW1 769 747 728.00001 394 292.99998 238
DCAF12 368 390 317 403 297 377
ASB12 0 1 6 8 0 12
ITPRIPL1 1 0 0 0 0 0
MT-ND4 78658 61747 62160 64617 67639 33531
SMC5 616.00001 558 573.99999 337 267 260
MT-ND1 88356 53441 63351 110932 76059 61959
PRMT6 40 57 37 140 123 117
SHISA4 343 370 315 476 617 513
CIPC 430 438 491 192.99999 116 161
CAPZA2 3198 2920 2840.99999 1331 779.00001 1134.99999
MT-ATP6 37031 24295 29225 44390 60258 30068
TOP1 7333.99999 5493 6380 4491 2707 2478
PRC1 1250.99999 860.00001 1050.99999 925.99999 694.00001 582.99999
GPRASP3 50 29 44 50.99999 43.99999 34
MAP3K3 210 150 140 119 119 98
L1CAM 132 91 114 0 5 1
SREBF2 474.00001 457.99999 469.99999 603 890 429
C1orf174 896 811.00001 909.99999 611.99999 354 438.99999
POU3F3 19 7 7 16 17 9
RASGEF1A 229.99999 216.99999 224.00001 76.99999 114.99999 76
SPOUT1 792.00001 853.99999 846.99999 1383.99999 1355 1452
RPL39 23111 21828 21503 40220 34815 33221
DZIP3 217 183 216 104.99999 93.99999 89
KIAA0753 219.00001 207 178 151 177 125
ENSG00000198923 2 2 3 1 0 4
DCLRE1A 76 62.99999 51 16 16 18
ATG9A 388.00002 399.99999 411.99999 473.99999 1039 398.99999
NOS1AP 39 16 23 56 78 47
CSAG1 1 7 2 0 0 0
APRT 21273.99998 20003.00002 18901 44346.00002 37311.00001 45230.00001
GPRASP1 0 0 2 5 0 3
TBKBP1 85.00002 66 86 126.99999 167 113
MAGEE1 50 40 52 37 46 58
CCDC167 2495 1977 2027 3107 2017 2373
MT-CO3 96787 68303 76897 115688 115692 71395
ZFP2 52 36 37.99999 6 3.99999 9.00001
SOWAHA 1 0 1 0 0 0
L3MBTL3 66 23 54.99999 79.99998 68 68.00001
DMD 4 4 2 0 0 1
MFAP3L 23 20.99999 25.99999 1 0 1
NAGA 300 354.99999 296 200.99999 241.99999 261
SMG5 3040 2607.99999 3113.00001 4855 5344.00001 4639
KIFBP 481.99999 435 402.99999 147.99999 133 105.99999
TGM2 2240 2119.00001 2027.99999 646.00001 828 668
ARMCX6 1388.00001 1132.00002 1239 1651.00001 1160.00001 1534.00001
PJA2 519 443 464.99999 249 241 184
SGMS1 177.99999 196 221 110 65 80.00001
MIR345 0 0 0 1 0 2
MIR16-2 2 0 1 0 0 0
MIR339 6 4 3 6 0 0
MIR103A2 1 8 0 5 0 0
MIR425 0 0 9 2 5 0
MIR210 0 12 0 0 0 6
MIR378A 0 0 0 0 0 1
MIR324 34 2 32 27 27 32
MIR135B 0 2 0 1 0 0
MIR342 0 0 0 0 1 0
MIR148A 0 0 0 0 0 1
MIR148B 6 0 0 0 0 0
MIR101-1 3 4 17 6 6 8
MIRLET7G 0 0 0 0 0 1
MIR331 4 0 0 0 0 0
RNU6-50P 1 0 2 0 1 0
RNU6-834P 2 0 0 10 0 0
RNA5S12 4 2 3 1 2 1
RNU1-58P 0 0 0 1 0 0
SNORA21 1 0 1 0 1 0
RNU4-39P 0 0 0 1 10 4
Y_RNA 1 8 3 30 18 1
RNA5S11 0 2 3 0 2 0
RNA5S3 0 1 7 0 2 0
RNA5S1 3 4 2 4 0 0
RNU5F-1 0 2 1 0 3 1
RNA5S5 0 0 2 0 0 1
SNORA1B 0 0 0 2 0 0
RNA5SP370 0 1 0 0 0 0
RNA5SP191 2 0 0 0 0 0
SNORA31 0 0 0 1 0 0
RNU6-633P 0 0 1 0 0 0
RNU1-70P 0 1 0 0 0 0
RNU6-247P 0 2 0 0 0 1
RNA5SP477 0 0 3 0 0 0
RNA5SP226 1 0 0 0 1 0
RNU6-315P 0 0 0 0 0 1
RNU6-37P 0 4 1 2 0 1
RNU5A-1 49 26 43 0 0 0
RNU6-228P 0 2 0 0 0 0
RNU6-1301P 0 0 3 0 0 0
RNA5SP124 0 4 0 0 0 0
RNU6-1272P 0 0 0 3 0 0
RNU6-1266P 0 4 4 0 1 0
RNU4-21P 0 0 5 0 0 0
RN7SKP173 1 0 0 1 0 0
RNU6-1128P 0 0 1 0 0 0
RNU4-23P 6 0 12 0 0 2
U8 0 0 0 0 0 1
SNORA52 0 0 0 2 1 0
SNORA80C 0 0 3 1 2 3
RNU1-134P 0 0 0 2 3 0
RNA5SP150 0 1 4 1 1 0
RNU1-72P 5 4 0 3 0 0
RNU6-942P 1 0 0 0 0 0
RNA5SP452 1 0 0 0 0 0
RN7SKP90 0 0 2 0 0 0
RNU6-249P 0 0 1 0 0 0
RNU5B-2P 1 0 2 1 11 1
RNA5S10 1 1 1 1 2 0
RNY1P16 0 0 1 0 0 0
RNA5SP443 0 0 0 2 0 0
RNU6-797P 0 0 0 1 0 0
SNORA73 1 0 0 0 0 0
RNU6-403P 0 4 0 0 0 6
RNA5SP218 0 0 0 0 1 0
SNORA73B 0 1 0 0 1 0
RN7SKP163 0 0 0 0 1 0
RNU6-181P 0 0 0 0 1 0
RNA5SP123 0 1 0 0 1 0
RNU6-23P 0 0 0 1 0 0
RNU5B-1 35 0 26 0 0 0
RNU5D-1 0 0 1 0 47 0
RNU6-238P 0 1 0 0 4 0
RNU6-992P 0 1 0 0 0 0
ENSG00000200235 1 0 0 0 0 1
RNU6-254P 0 0 0 5 11 0
RNU6-529P 6 4 2 2 4 1
RNU6-97P 0 0 0 4 0 0
RN7SKP255 1 0 0 0 0 1
RNA5S8 1 0 2 1 1 0
RNA5S17 1 0 1 0 0 1
RNU5E-10P 6 0 0 5 12 0
RNA5S4 1 2 2 1 1 0
ENSG00000200385 0 0 0 4 2 0
RNU6-618P 1 0 0 0 0 1
SNORA38B 0 0 1 0 0 0
RNA5SP507 0 1 0 0 0 0
RNA5SP378 0 0 0 0 2 0
RNU6-1331P 0 0 0 0 2 0
SNORA33 0 0 0 1 0 0
RNY4P6 0 0 0 0 0 1
RNU6-137P 0 3 0 0 0 1
RNU6-525P 0 2 1 0 0 0
RNA5SP429 1 0 0 0 0 0
RNU6-288P 1 1 1 0 1 0
RNU6-1284P 0 0 1 0 0 0
RNU6-824P 0 0 3 14 7 0
RNA5S6 3 2 0 2 2 0
RNU6-379P 0 1 0 0 0 0
RNA5SP335 0 0 0 0 3 0
U3 3 3 2 0 0 0
RNU6-884P 0 0 0 0 1 0
RN7SKP180 1 0 2 0 0 0
RNA5SP234 0 2 0 0 0 0
SNORA80A 0 0 0 0 4 0
RNU6-1091P 0 0 0 1 0 0
SNORD36B 0 0 1 0 0 0
RNA5SP48 0 0 0 3 0 0
SNORD46 0 0 0 0 2 0
ENSG00000201003 0 0 1 1 3 0
RNU6-268P 0 1 0 2 0 0
RNY1 0 0 1 0 0 1
RNU6-11P 2 1 0 2 0 2
RNU6-647P 0 0 0 1 0 0
RNU1-33P 1 0 0 0 0 0
SNORA58B 0 0 0 0 0 1
ENSG00000201151 0 0 0 2 0 0
RNU4-68P 0 0 0 1 0 0
RNA5SP202 1 0 0 0 3 0
SNORD42 0 1 0 0 0 0
RNA5S9 1 0 0 0 0 0
RNA5S14 0 1 4 0 0 0
RNU6-1251P 1 0 0 5 0 0
SNORA68B 0 0 0 1 0 0
ENSG00000201407 0 0 0 1 0 0
RNA5SP512 2 2 2 2 0 1
RNA5SP515 0 0 0 0 0 2
RNU4-4P 0 1 1 0 0 0
ENSG00000201465 0 0 2 0 0 0
RNA5SP379 0 4 0 0 0 0
RNY4P7 0 0 0 0 1 0
RNU6-645P 0 1 0 0 0 0
RNU6-450P 5 2 0 9 5 10
RN7SKP237 0 0 0 1 0 0
SNORA16B 2 0 1 1 0 0
RNU6-973P 0 1 0 0 0 0
RN7SKP78 0 0 0 0 0 1
RNA5S2 3 0 1 1 3 0
ENSG00000201592 0 0 0 0 1 1
RNU1-91P 0 0 0 0 1 0
RNY4P34 2 0 0 2 3 0
RNU6-7 0 0 3 2 3 0
RNU12-2P 0 0 1 0 0 0
RNU6-60P 0 0 0 0 2 0
RN7SKP239 18 10 0 0 0 0
RNU6-1107P 1 0 0 0 0 0
RNU6-686P 2 1 0 0 0 0
RNU6-304P 0 0 0 0 0 1
RNA5SP479 0 0 0 1 0 0
RNU6-828P 4 0 0 0 0 1
SNORA5C 0 1 1 0 0 0
RN7SKP9 1 0 1 0 0 0
RNU5E-4P 0 0 0 0 0 17
RNU4-8P 1 0 0 0 0 0
ENSG00000201807 1 0 0 0 0 0
RNU6-915P 4 0 9 0 0 0
ENSG00000201863 0 0 0 0 0 1
ENSG00000201882 0 0 0 0 1 0
RNA5SP485 1 0 0 0 0 0
RNA5S15 2 0 2 0 3 0
SNORA72 7 0 0 2 2 5
